Test language,CEFR level of test,Mother tongue,Overall CEFR rating,Grammatical accuracy,Orthography,Vocabulary range,Vocabulary control,Coherence/Cohesion,Sociolinguistic appropriateness,Learner text,Filename
German,B1,Spanish,B1,B1,C1,B1,B1,B1,B1,"Lieber Michael,",1061_0120499.txt
German,A1,Russian,A2,A2,B1,B1,B1,A2,B1,"Lieber Jens,",1071_0024836.txt
German,C1,Russian,C1,C1,C1,C2,C1,C1,C1,"Zum Glück betrift dieses Thema grad den Beruf, den ich sein Jahren ausühbe. Ich habe schon immer gerne mit Immobilien gearbeitet und diese Thema liegt mir ganz nähe.",1031_0003098.txt
German,A2,not reported,B1,A2,B1,B1,B1,B2,B1,"Stadt X, den 13.3.12",1091_0000260.txt
German,C1,other,B2,B2,B2,C1,C1,B2,B2,Aufsatz,1031_0003187.txt
German,B2,Spanish,B2,B1,B2,B2,B2,B2,B2,Eva Maria Meier Müller,1023_0109495.txt
German,A1,Russian,A2,A2,B1,A2,A2,A2,A2,Liebe Daniela.,1071_0024823.txt
German,A2,Arabic,A1,A2,A2,A2,A2,A2,A2,Stadt X 04.01.2012,1091_0000051.txt
German,A1,not reported,A2,A2,B1,A2,A2,A2,A2,"Hallo Ingo,",1071_0248329.txt
German,B1,Turkish,A2,A2,B1,B1,B1,B1,B1,Stadt X 08.03.2012,1061_0120483.txt
German,C1,Turkish,B2,B2,C1,C1,B2,C1,B2,Die Orientierung an das neuen Heimat,1031_0002198.txt
German,A1,Portuguese,A2,A2,B2,A2,A2,A2,A2,Lieber Ingo,1071_0024716.txt
German,A2,not reported,B1,B1,B1,B1,B1,B1,B1,13.03.12,1091_0000259.txt
German,B2,Polish,B2,B2,B2,B2,B2,B2,B2,Maria Müller,1023_0103839.txt
German,A1,not reported,A2,B1,B1,A2,A2,A2,B1,"Lieber Jens,",1071_0242011.txt
German,B2,other,B1,B1,B2,B1,B1,B1,B1,Maria Meier,1023_0109614.txt
German,A2,not reported,A2,B1,B1,B1,B1,B1,B1,13.03.2012,1091_0000262.txt
German,C1,English,B2,B2,C1,C1,C1,C1,B2,"Das Thema ist von besonderer Aktualität. Heutzutage ziehen immer mehr Leute aus beruflichen Gründen nach Stadt X/Stadt Y um. Viele von diesen Leuten stammen aus anderen Ländern. Bevor man nach Stadt X/Stadt Y umzieht, sollte man über den Wohnungsmark nachdenken. Wie und wo man in einer Stadt lebt, ist underschiedlich von Stadt zu Stadt un einer der wichtigsten Faktoren, um den Erfolg des Umzogs zu garantieren. Dazu gibt es entscheidende Faktoren: Lebensarten von Familien und Einzelpersonen, bestimmte Hinweise und die Frage - Mieten oder Kaufen.",1031_0002185.txt
German,A1,not reported,A2,A1,A2,A2,A2,A2,A2,30-5-2012,1071_0248302.txt
German,B2,not reported,B2,B2,B2,B2,B1,B2,B2,Eva Winkelmann,1023_0101694.txt
German,B2,Russian,B2,B2,C1,B2,B2,B1,B1,Winkelmann Katharina,1023_0101843.txt
German,A2,not reported,B1,B1,B2,B2,B2,B2,B1,"Liebe meine Freundin,                                                   den, 06.01.2012",1091_0000170.txt
German,B2,Spanish,B1,B1,B1,B1,B1,B1,B1,Computer-Spezialist                                Stadt X 22-3-2010,1023_0101854.txt
German,B1,not reported,A2,A1,A2,A2,A2,A2,A2,22.02.2012,1061_0120286.txt
German,A2,Russian,B1,A2,A2,B1,A2,B1,A2,"Liebe Julia,",1091_0000021.txt
German,B2,Spanish,B2,B2,C1,B2,B2,C1,C1,Julia Winkelmann,1023_0109247.txt
German,B2,Polish,B2,B2,C2,B2,B2,B2,C1,Friedrich Müller,1023_0109038.txt
German,B2,other,B1,B1,C1,B1,B1,B1,B1,"Katharina Winkelmann                    Stadt X, 08 Oktober 2011",1023_0109519.txt
German,A1,Arabic,A2,A2,B1,B1,A2,B1,B1,8.3.2012,1071_0024694.txt
German,A1,Turkish,A2,A2,A2,A2,A2,A2,A2,"Liebe Ingo,",1071_0024763.txt
German,C1,other,B2,B2,C1,C1,B2,B2,B2,Wohnungsmarkt in Stadt X,1031_0003135.txt
German,C1,Portuguese,B2,C1,C1,C1,C1,B2,B2,"Seit lange ist es beruflich unmöglich keine fremsprache zu können. Im letzten Jahrhundert war es nicht mehr nur Englisch und Französisch Pflichtig, am Ende hatte die Spanischesprache eine wichtige Rolle gespielt. Heute kann jeder mindesten einer dieser Sprachen und wer sich differenzieren will, muss eine andere Möglichkeit finden, und Deutsch ist meiner Meinung nach die richtige Entscheidung, weil Deutschland genug Angeboten in viele gute Universitäten und in verschiedene Bereiche anbietet. Andere deutschsprachige Länder, wie Österreich, haben genauso wie Deutschland weltweit filialindustrie. Das wäre auch ein Argument, um Deutsch zu lernen.",1031_0002196.txt
German,A2,not reported,A2,A2,B1,B1,A2,B1,A2,Stadt X 12.03.2012,1091_0000240.txt
German,A1,not reported,A1,A1,A2,A1,A2,A1,A2,"Lieber Jens,",1071_0242022.txt
German,A1,Arabic,A2,A2,B1,A2,A2,A2,A2,"Hallo Ingo,",1071_0248326.txt
German,B1,Chinese,B1,B1,B1,B1,B1,B1,A2,"Lieber Michael,",1061_0120456.txt
German,C1,Russian,C1,C1,C1,C1,B2,C1,C1,Deutschlernen muss sein!,1031_0003183.txt
German,A2,not reported,B1,B1,B1,B1,B1,B1,B1,11. märz-2012,1091_0000232.txt
German,A2,not reported,B1,A2,B2,B1,B1,B1,B1,Stadt X,1091_0000231.txt
German,B2,Italian,B2,B1,B2,B2,B2,B2,B1,WINKELMANN EVA,1023_0107726.txt
German,B1,Russian,B1,B1,B2,B2,B2,B2,B1,"Stadt X, den 27.02.11",1061_0120317.txt
German,C1,Spanish,B2,B1,B2,B2,B2,B2,B2,"Leben in Stádt X  ist ,Heute zu Tage´ aber nicht einfach. In 1980 gabe es in diese 20´000´000 Eingewohner Stadt eine Spitzung in Konstruktions Market mit viele neuen Gebauden.",1031_0003095.txt
German,A2,not reported,B1,A2,B1,B1,B1,B1,B1,Müller Stefan,1091_0000207.txt
German,B1,not reported,B2,B2,C1,B2,B2,B1,B2,Stadt X 17.04.2012,1061_0120448.txt
German,C1,Hungarian,B1,B1,B1,B2,B2,B2,B1,"Sehr geehrte Damen und Herren,                      Stadt X, 01.10.2011",1031_0003212.txt
German,B1,not reported,B1,B1,B1,B1,B1,B1,B1,"Liber Michael,",1061_0120460.txt
German,A1,Turkish,A2,A1,A2,A2,A2,A1,A2,Stadt X´den 16.03.2012,1071_0024807.txt
German,A1,Russian,A2,A2,B1,A2,A2,A2,A2,"Liebe Aleks,",1071_0024876.txt
German,A1,not reported,A1,0,A1,A1,A1,0,A1,LiBe jens,1071_0248320.txt
German,A2,Arabic,B1,B1,A2,A2,A2,A2,A2,"Stadt X, 06.01.2012",1091_0000065.txt
German,B1,Italian,B2,B1,C1,B2,B2,B2,B2,"Stadt X, 26. März 2012",1061_0120882.txt
German,B1,Russian,B1,B1,B1,B1,B1,B1,B1,"Stadt X, 22.02.2012",1061_0120301.txt
German,A1,not reported,A2,B1,A2,B1,B1,A2,B1,Mein Freund Jens ich hab´s gehört du bist Vater geworden. Herlich Glückwünsche! Und wie ist der Name des Babys? Ich glaube du auswelst die rihtige.,1071_0024851.txt
German,A2,Polish,B1,A2,B1,A2,A2,A2,A2,"Liebe Katharina,",1091_0000153.txt
German,C1,English,B2,B2,C1,C1,B2,B2,B2,"Ein Haus, oder eine Wohnung zu mieten oder kaufen in Stadt X könnte entweder teuer oder billig sein. Das kommt darauf an die Ort und der Umgebung wo man leben möchte. Studenten, z.B., werden es immer schaffen Geld zu sparen, da es Studentenwohnungen gibt, die ganz billig und günstig sein könnten. Mansche Studenten suchen sich diese Studentenwohnungen, in Orten wie Stadtteil X oder Stadtteil Y aus, weil die Umgebung ganz lebendig und „Multikulti"" sein könnte.",1031_0002187.txt
German,C1,Russian,B2,B2,C1,C1,C1,B2,C1,"Die Frage ist „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren? stellt jeder Einwanderer oder Gastarbeiter früher oder später.",1031_0003090.txt
German,B1,Polish,B1,B1,B2,B1,B2,B1,B2,"Stadt X, den 05.03.2012",1061_0120409.txt
German,B1,Russian,A2,B1,B1,B1,B1,A2,A2,"Stadt X, den 27.02.2012",1061_1029113.txt
German,A1,English,A1,A1,A2,A1,A1,A1,A1,Liebe Jens,1071_0024864.txt
German,A2,Turkish,A2,B1,B2,B1,B1,B1,B1,"Stadt X, 12.3.2012",1091_0000221.txt
German,B1,Portuguese,A2,A2,B1,A2,A2,A2,A2,"Stadt X, 22.02.2012",1061_0120302.txt
German,C1,other,B1,B1,B1,B2,B1,B2,B2,"Ich möchte eine Bericht zu Ihrer Temer geben, um eine wohnung in Stadt X zu finden.",1031_0003384.txt
German,C1,English,B2,B2,B2,B2,B2,B2,B2,"Informationen über die Wohnungsmarkt in eine bestimmte Stadt sind sehr wichtig für Leute, die im Ausland umziehen möchten. Als Auslander, der in Stadt X wohnt, kann ich die Lage hier sehr gut beschreiben.",1031_0003354.txt
German,A1,Russian,A2,A1,A2,A2,A1,A1,A2,"Hallo Jens,",1071_0024850.txt
German,A1,Russian,A2,A2,B1,A2,A2,B1,A2,"Liebe Daniela,",1071_0248337.txt
German,B1,Polish,A2,A2,B1,B1,B1,A2,B1,"Stadt X, 28.02.2012",1061_1202917.txt
German,A2,not reported,A2,A2,B2,A2,A2,A2,A2,"Stadt X, 12.03.12",1091_0000226.txt
German,B2,Spanish,B1,B1,C1,B1,B1,B1,B1,"Maria Julia Müller Schmidt                             30. September, 2011",1023_0109500.txt
German,B2,French,B2,B1,C1,B2,B2,B2,B2,"Tobias Schmidt                  Stadt X, 26. September 2011",1023_0109192.txt
German,A2,not reported,B1,A2,B1,A2,A2,A2,B1,"Liebe Julia,",1091_0000274.txt
German,A1,Portuguese,A2,A2,A2,A2,A2,A2,A2,"Lieber Ingo,",1071_0242041.txt
German,B2,Russian,B2,B2,B2,B2,B2,B2,B2,Michael Winkelmann,1023_0107740.txt
German,A1,Arabic,A2,A2,B1,A2,A2,A2,A2,2012.03.8,1071_0024693.txt
German,A1,French,A2,A2,B1,B1,A2,A2,B1,"Liebe Ingo,",1071_0024691.txt
German,B1,Chinese,B1,B1,B2,B1,B1,B1,B1,"Stadt X, den 22.03.2012",1061_0120394.txt
German,B2,Italian,B2,B2,B2,B2,B2,B2,B2,Reaktion auf eine Werbeanzeige,1023_0109717.txt
German,A2,Arabic,A2,B2,B2,B1,B2,B2,B2,"stadt X, 04,01.2012",1091_0000024.txt
German,A1,not reported,B1,B1,B2,B1,B1,B1,B1,"Liebe Ingo,",1071_0024682.txt
German,B2,other,B2,B2,C1,B2,C2,B1,B2,"Maria Müller, Zentralplatz 12",1023_0109917.txt
German,A2,not reported,A2,B1,B1,B1,B1,B1,B1,Maria Meier                                          10.03.2012,1091_0000210.txt
German,C1,other,B2,B2,B2,B2,B2,B2,B2,"Sehr geehrte Damen und Herrn,",1031_0003185.txt
German,B1,Polish,B1,A2,B1,B1,B1,B1,B1,"Deutschland, Stadt X 22/03/2012",1061_0120278.txt
German,A2,Polish,A2,A1,A2,A2,A1,A1,A2,Stadt X 06.01.2012,1091_0000053.txt
German,A1,not reported,A2,A1,A2,A2,A2,A2,A2,"Liebe Daniela,",1071_0248310.txt
German,B1,Czech,B1,B1,B2,B1,B1,B1,B2,"Liebe Dana,",1061_0120276.txt
German,A2,Arabic,A2,A2,B1,A2,A2,A2,A2,Katharina Schmidt,1091_0000152.txt
German,B1,not reported,B1,B1,B1,B1,B1,B1,B2,"Stadt X, 9.03.2012",1061_0120876.txt
German,C1,Hungarian,B2,B2,B2,B2,B2,B2,B2,"Meiner Meinung nach ist dieses Thema sehr interessant. Immer mehrere Menschen nutzen heutzutage keine Traditionen seines Heimatlandes, weil die Welt globaliziert. Die Schnellimbisse wurde  an der Welt gegründet. Immer wenige traditionische Speise zur Verfügung genommen. Die Entwicklung den Ländern sind mit dem Globalization angefangen. Alle Länder gibt es verschiedene Orten, wo wir die Kultur befinden können. In Ungarn gibt es viele Plätze wie zum Beispiel: Heldenplatz, Museum von Ludwig, Parlament. In diesen Plätzen können wir die ungarische Kultur erfahren.",1031_0003243.txt
German,C1,other,B2,B2,B2,B2,B2,B2,B2,"Manche sagt, dass Deutsch ist die Sprache der Phylosophi oder der Diskutierung. Deutsch wird ja nicht weltweit gesprochen. Aber Deutsch ist die logischste Sprache in der ganzen Welt. Als man Deutsch lernt, kann man lernen, etwas zu kritisieren oder etwas logisch zu erklären.",1031_0003160.txt
German,A2,Arabic,A2,B1,B2,B1,B1,B1,B1,"Stadt X,09,01,2012",1091_0000087.txt
German,B1,Arabic,A2,A2,B1,B1,A2,A2,B1,"stadt X 2012, 02,27",1061_1029118.txt
German,A1,not reported,A1,A1,A1,A1,A1,A1,A1,Liber Jens.,1071_0242092.txt
German,A2,Arabic,A2,A1,A2,A1,A1,A1,A2,"Stadt X, 04.01.2012",1091_0000030.txt
German,B1,Arabic,A2,A2,B1,B1,B1,B1,A2,"Liebe Silke,                                       Stadt X 12.02.28",1061_0120359.txt
German,A1,not reported,A2,A2,B1,A2,A2,A2,A2,"08.03.2012, Stadt X",1071_0024877.txt
German,C1,other,B1,B1,B1,B1,B1,B2,B1,Liebe leser und Leserin.,1031_0003203.txt
German,A1,Arabic,A2,A2,A2,A2,A2,A2,A2,"Lieber Ingo,",1071_0241831.txt
German,B1,Russian,B1,B1,B1,B1,B1,B1,B1,"Liebe Silke,",1061_0120321.txt
German,A2,French,B1,B1,B2,B2,B1,B1,B1,"Liebe Julia,",1091_0000116.txt
German,A2,Arabic,A1,A1,A2,A2,A2,A1,A2,"Stadt X, 04.01.2012",1091_0000052.txt
German,B2,Arabic,B2,B2,C1,B2,B2,B2,B2,Michael Meier,1023_0001419.txt
German,A1,not reported,A1,A1,A2,A2,A1,A1,A1,Ich glaube du ist glücklich. Hast du ein Sohn oder eine Tochter?,1071_0024831.txt
German,B2,other,B2,B2,C1,B2,C1,B2,B2,"Friedrich Winkelmann                              Stadt X, den 08.10.2011",1023_0109515.txt
German,A1,English,A2,A2,B1,A2,A2,A2,A2,"Lieber Jens,",1071_0024840.txt
German,B1,not reported,A2,A2,B1,B1,A2,B1,B1,"Thailand, den.26.03.2012",1061_0120887.txt
German,B1,Portuguese,B1,A2,B1,B1,B1,B1,B1,"Stadt X, 13.04.2012",1061_0120494.txt
German,A1,Spanish,B1,B1,B2,B1,B1,B1,B1,"Lieber Jens,",1071_0024834.txt
German,A1,not reported,A2,A2,B1,A2,A2,A2,A2,"Lieber Ingo,",1071_0024704.txt
German,A2,Russian,B1,A2,A2,A2,A1,A2,A2,Hallo Maria!,1091_0000072.txt
German,C1,Polish,B2,B2,B2,C1,C1,B2,B2,"Heutzutage viele Menschen Leben im Ausland aus privaten oder beruflichen Gründen. Sie kommen aus verschiedenen Ländern und verschiedenen Kulturen. Jedes Land hat seine Heimische Traditionen, wie z.B. Kulinarische, Sprachliche usw.",1031_0003154.txt
German,A2,not reported,A2,B1,B2,B1,B1,B1,B1,12.02.2012,1091_0000236.txt
German,C1,other,B2,B2,B2,C1,C1,C1,C1,Worum ich das Deutschlernen für sinvoll halte?,1031_0002005.txt
German,C1,Russian,B2,B2,C1,C1,B2,B2,B2,"Das Thema „Deutschlernen"" ist in besonderem Interesse, weil wir im Zeitalter der Globalisierung leben. Die Welt besteht aus verschiedenen Staaten mit eigenen künstlische und kulturelle Traditonen. Dazu gehört auch die Spache. Man kann dann folgende Frage stellen: Warum nur Englisch, Französisch oder Spanisch nur als „nützllicher"" genannt wird? Diese Thema muss näher untersuchen. Die Hauptargumente für Deutschlernen ist ein wertvolles kulturelles Schätz, wie zum Beispiel die Gedichte und Erzählungen von Goethe und Schiller. Man kann durch das Lesen nur die richtige Gefülle erleben, wenn man ein Wort nach dem anderem im Original lesen kann. Die Übersetzung in anderer Sprache kann vermutlich Sinn des Werks verlieren. Noch ein wichtiges Argument: In jede Spache gibt es die Wörte, die aus deutsche Sprache stammen. Um sie zu verwenden, muss man ihre Bedeutung wissen. Vielleicht benutzen die Deutsche das Wort in einem anderem Kontekst. Nach meiner Erfahrung kann ich so sagen, dass für mich persönlich das Deutschlernen leichter ist, als z.B. Englisch. Mir gefällt wie die deutsche Sprache klingelt, trotz der Schwierigkeiten mit Grammatik. Was ist auch noch wichtig, dass man im Nachbarnländer sowie im Urlaub mich verstehen kann.",1031_0003140.txt
German,A2,Turkish,A2,B1,B1,B1,B1,B1,B1,Liebe Julia,1091_0000185.txt
German,A1,Arabic,A1,A1,A1,A1,A1,A1,A1,"Lieber Herr Michael,",1071_0248324.txt
German,B1,English,A2,B1,A2,B1,B1,A2,B1,Liebe Silke,1061_0120347.txt
German,C1,Russian,B2,B2,C1,C1,B2,C1,B2,Deutsch? Warum nicht!,1031_0003179.txt
German,A1,English,A2,A2,A2,A2,A1,A1,A2,16.03.2012,1071_0024804.txt
German,A1,Arabic,A2,A2,B1,A2,A2,A2,A2,"Liebe Daniela,                               wie geht es Dir?",1071_0241833.txt
German,B1,not reported,A2,A2,B1,A2,A2,B1,A2,Stadt X 05.03.12,1061_0120413.txt
German,A2,not reported,B1,A2,B1,B1,B1,A2,A2,"Liebe Katharina,",1091_0000228.txt
German,A2,Polish,B1,B1,B1,A2,A2,A2,A2,Hallo Liebe Maria!,1091_0000167.txt
German,B2,other,B1,B1,B2,B2,B1,B1,B1,Maria Meier,1023_0109250.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B1,Liebe Silke,1061_0120368.txt
German,A1,not reported,A2,A2,A2,A2,A2,A2,A2,16.03.2012,1071_0024801.txt
German,A1,Polish,B1,B1,B2,B1,B1,B1,B2,"Lieber Ingo,",1071_0024709.txt
German,A2,not reported,A2,A2,B1,A2,A2,A2,A2,"Stadt X, 04 01 2012",1091_0000026.txt
German,A2,Hungarian,B1,B2,B2,B1,B2,B1,B1,"Liebe Julia,                      Stadt X, den 1 Jan. ´12",1091_0000007.txt
German,C1,other,B2,B2,B2,B2,B2,B2,B2,"Wohnungsmarkt in Stadt X, Indien",1031_0003273.txt
German,B2,Russian,B2,B2,B2,B2,B2,B2,B2,Michael Meier,1023_0107729.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B2,"Liebe Silke,                                          Stadt X, den 23.02.2012",1061_0120307.txt
German,A1,not reported,A2,A2,A2,A2,A2,A2,A2,Hallo Jens Herzlich Glückwünsch Sie Sint Fata geworden ich freumich fur dich Vie viel wigt das Bebi und wie heist das Bebi istas aien Junge oder ain Mötchen Istes alles oke wigetes die Mamma gehtes ir gut ist ales oke mit ir Bitte wen Sie raus ist ruf mich am Ich wolte vor bei kommen,1071_0248316.txt
German,B1,Russian,B1,B1,C1,B1,B1,B2,B2,"Stadt X, den 28.02.2012",1061_0120330.txt
German,C1,Hungarian,B2,B2,B2,B2,B2,B2,B2,"Meiner Meinung nach, wenn es möglich ist, soll man der Kultur des Gastlandes orientieren, oder wenigstens kennenzulernen. Wenn man im Ausland wohnt und will da bleiben, viele Freunde finden und ein volles Leben zu haben, dann glaube ich, das man versuchen soll die gleiche Sachen zu tun was die andere Menschen. Ich habe schon selbe in ausland gewohnt für ein Jahr, aber ich glaube, dass ich ohne an die fremde Kultur zu orientieren, könnte ich da nicht so gut die Sprache lernen und ich könnte nicht so viel Spaß dabei zu haben. Ich glaube es ist wichtig, dass die Menschen neben mir, mich akceptieren und wie eine von sie mich handeln. Ich denke auch, dass es schön ist eine andere Kultur kennen zu lernen. Man kann sehr viel damit lernen und natürlich können die andere Menschen von der Ausländer auch viele interressante Sachen lernen. Es gibt leider so viele Konflikte wenn man nach Ausland geht und will nicht die Kultur dort akceptieren. Kann auch passieren, dass die fremde Leute sich nicht mit einander verstehen. Ich glaube ausländer sind Geste in eine fremde Land und wenn man ein Gast ist soll sich an der Kultur des Gastlandes orientieren, sonder könnte man einfach nur zu Hause in ihre einige Heimatland bleiben und da seine Traditionen üben, wenn sie so wichtig sind.",1031_0003262.txt
German,B1,Spanish,B1,B1,B2,B1,B1,B1,B2,"Stadt X, 13.03.2012",1061_0120498.txt
German,A2,Turkish,A2,A2,B1,B1,A2,B1,A2,Michael Friedrich Meier,1091_0000192.txt
German,A2,not reported,A2,B1,B1,B1,B1,B1,B2,Stadt X 13.03.12,1091_0000270.txt
German,A2,not reported,B1,A2,B1,B1,A2,A2,A2,Bahnhofsstrß 12,1091_0000205.txt
German,B2,French,B2,C1,B2,B2,B2,C1,B2,Eva Maria Meier Winkelmann,1023_0101895.txt
German,B1,Turkish,A2,A1,A2,A2,A2,A1,A2,"Liebe Dana,",1061_0120386.txt
German,B2,other,B2,B1,C2,B2,B2,B1,B2,Müller Maria Katharina,1023_0109606.txt
German,A2,Spanish,B1,A2,A2,A2,A2,A2,A2,"Herren Wohnungsamt,",1091_0000079.txt
German,A2,not reported,B1,A2,B1,B1,B1,B1,A2,"Stadt X, 11-03-2012",1091_0000229.txt
German,A1,not reported,A2,A1,A2,A2,A2,A2,A1,Liebe Daniela,1071_0248346.txt
German,C1,other,B2,B2,B2,B2,B2,B2,B2,"In Korea wird der Wohnungsmarkt immer noch schlimmer. Früher war eine Wohnung ein Symbol für das Vermögen, oder eine Art und Weise, das Vermögen erhöhen zu können. Der Vorgang ist so. Man kauft eine große Wohnung, dann nach der Erhöhung des Preises der Wohnung verkäuft man sie. Aber leider geht das nicht mehr, weil alle Leute in Korea schon erkannt haben, dass der Preis der Wohnung Schaum ist. Wir brauchen, es so zu denke, dass die Wohnung nicht mehr eine Weise zum Vermögen ist, sondern ein Mittel zum Leben ist. Diese Veränderung des Erkenntnisse über Wohnung ist jetzt in Korea sehr wichtig. Sonst man kann ihr Geld, dass er in seinem ganzen Leben einspart hat, auf einmal verlieren.",1031_0003167.txt
German,C1,Turkish,B2,B2,B2,B2,B2,C1,B2,Wohnungsmarkt in Stadt X,1031_0003414.txt
German,C1,other,B2,B2,C1,B2,B2,B2,B2,"Viele fremden Sprachen zu sprechen ist ein Reichtum. Die deutsche Sprache ist eine der Sprachen, die viele Leute in der Welt sprechen. In Gründe genommen, die deutsche Sprache wird besonderes in Technik, Wissenschaft und Bildung Gebrauch gefunden. Die zahlreiche Maschinen sowie Autos, die in der ganzen Welt benützt werden, stammen aus Deutschland. Im alltäglichen Leben, es ist alles mit dieser Industrie verbunden. Viele von weltbekannten Komponisten in der klassischen Musik kamen aus Deutschland oder spruchen Deutsch. Mit Beherrschen der deutschen Sprache kann man gute Geschäfte mit den deutschen Firmen, die zum Export orientiert sind, machen. Wenn man Deutsch spricht, kann man in Deutschland besser und schneller auch integrieren. Die Sprache ist das eizigste Mittel die Leute besser kennenzulernen. Es gibt noch Tausende von Gründen, um zu erklären warum ist sehr wichtig und sinvoll Deutsch zu lernen. Ich habe viele von den Vorteile entdeckt und weshalb ich habe auch Deutsch gelernt.",1031_0003085.txt
German,A1,Polish,A2,A2,B1,A2,A2,A1,A2,Hallo Jens.,1071_0243502.txt
German,A2,not reported,B1,B1,B1,B1,A2,B1,B1,13.03.12,1091_0000247.txt
German,C1,other,B2,B2,C1,C1,B2,B2,B2,Leben zwischen zwei Traditionen,1031_0003410.txt
German,A2,not reported,B1,B1,B1,B1,A2,B1,B1,"Stadt X, den 1. April 2011",1091_0000251.txt
German,B1,Russian,B1,B2,B2,B2,B1,B2,B1,Liebe Silke!,1061_0120308.txt
German,B1,Portuguese,B1,A2,B1,B1,B1,B1,B1,"Stadt X, 08.03.2012",1061_0120482.txt
German,B2,other,B1,B2,B1,B2,B2,B2,B1,Abs.,1023_0001422.txt
German,C1,Italian,B2,B2,C1,C1,B2,C1,B2,"Sehr geehrte zukünftige Kollegen,",1031_0003393.txt
German,A1,not reported,A2,A2,B2,A2,A2,A2,A2,"Stadt X, 08.03.2012",1071_0024875.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B2,Stadt X den 27.02.12,1061_1202912.txt
German,A1,Polish,B1,B1,B1,B1,B1,B1,B1,"Lieber Ingo,",1071_0024767.txt
German,B2,other,A2,A2,B1,B1,A2,B1,B1,Au-pair-Agentur Schultz & Partner,1023_0109029.txt
German,B1,Polish,B1,B1,C1,B1,B1,B1,B1,"Lieber Michael,",1061_0120491.txt
German,C1,Russian,B2,B2,B2,B2,B2,B2,B2,Wohnungsmarkt in Stadt X,1031_0003368.txt
German,B1,Arabic,B1,A2,B1,B1,B1,B1,B1,"Lieber Micael                                            Stadt X, 12.03.2012",1061_0120496.txt
German,B1,not reported,A2,A2,B1,B1,B1,A2,B1,"Stadt X, den 22.02.2012",1061_0120285.txt
German,A2,not reported,B1,B1,B1,A2,A2,A2,A2,Hallo Maria! Ich bin ein paar Tage nicht zu Hause. Meine problem ist: ich kann die Haustiere nicht mitnehmen. Bitte können Sie mir helfen? Meine Katze und mein Hund müssen jeden Tag essen trinken und spazieren gehen. Von Montag bis Donnerstag fahre ich zu meine Kuzine nach Stadt X.,1091_0000068.txt
German,A2,Spanish,A2,A2,B1,A2,A2,A2,A2,"Stadt X, 09.01.2012",1091_0000086.txt
German,C1,English,C1,C1,C1,C1,C1,C1,C1,"Wenn man umziehen muss, dann muss man nach einer Wohnung oder einem Haus suchen. Bei uns in Stadt X ist es üblich zusammen mit der Familie zu wohnen, wenn man noch ledig. ist. Erst nach dem man verheiratet ist, hat man eine eigene Wohnung. Ein Haus zu mieten oder kaufen, kommt selten in Frage, weil bei uns wenig Platz gibt. Das heißt, für die Ausländer, die eine Wohnung oder Haus suchen, kann es schwerig sein.",1031_0003133.txt
German,B1,Russian,A2,A2,B1,B1,B1,A2,B1,"Stadt X, den 27. Februar 2012",1061_1029117.txt
German,B1,English,B1,B1,B2,B2,B1,B1,B1,"Stadt X, den 26. März 2012",1061_0120881.txt
German,C1,English,B2,B2,B2,C1,B2,B2,B2,"Neulich gibt es viele verschiedene Meinungen über das Thema Tradition und Kulturen, ob man sie im Ausland auch weiter fortsetzen soll oder nicht.",1031_0003155.txt
German,A1,Turkish,A2,A2,A2,A2,A2,A1,A2,"Liebe Daniela,                                    30-05-2012",1071_0248304.txt
German,C1,other,B2,B2,B2,C1,C1,C1,C1,Wohnungsmarkt in Stadt X,1031_0002004.txt
German,C1,other,B1,B1,B2,B2,B1,B2,B1,Liebe meinen zukünftigen Kollegen,1031_0003165.txt
German,B2,Italian,C1,B2,C2,C1,B2,C1,C1,Michael Meier,1023_0108641.txt
German,B1,Arabic,A2,A2,B1,B1,A2,A2,A2,"Stadt X, 27.02.2012",1061_0120290.txt
German,C1,Polish,B2,B2,B2,C1,B2,B2,B2,"In Stadt X gibt es viele gute möglichkeiten eine Wohnung zu miten oder zu kaufen. Die meisten Wohnungen sind in Blockhäsern, die nicht höher als vier Stocke sind. In der Stadt gibt es drei Bezirke wo die Bockhäsern stehen und sie sind ca. 10 minuten zum Fuß von Zentrum entfent Die meisten Familien leben in Dreizimmenwohnungen. Aber es gibt auf viele kleine Unterkunfte. Man kann auf enen Zimmer miten bei eine Familie.",1031_0003106.txt
German,B1,Russian,B2,B2,C1,B2,C1,B1,B1,"Lieber Michael,                                       Stadt X, 01.03.12",1061_0012029.txt
German,A2,not reported,B1,B1,B1,B1,B1,B1,A2,"Liebe Katharina,",1091_0000168.txt
German,A1,Russian,A1,A1,A1,A1,A1,A1,A1,"Lieber Ingo,",1071_0242071.txt
German,B1,not reported,A2,A2,B1,A2,A2,A2,A2,28.02.2012,1061_0120349.txt
German,A1,Russian,A2,A2,A2,A2,A2,A2,A2,"Liebe Daniela,",1071_0242073.txt
German,A2,Turkish,B1,A2,A2,A2,A2,A2,A2,"Liebe Julia,",1091_0000273.txt
German,A2,Spanish,B1,B1,B2,B1,B1,B1,B1,"Stadt X, 19.01.2012",1091_0000123.txt
